Region,School Name,School Hours of Operation,Teacher Start & End Time  ,Para Start & End Time   ,Nurse Start & End Time,Family Liaison Start & End Time ,Specialist Start and End Time,Notes: 
2,Tynan Elementary School,8:30am - 3:10pm,8:15am-3:25pm,8:15am-3:05pm,8:15am-3:25pm,8:00am-4:00pm,8:15am-3:25pm,
3,Carter School,"9:30am - 3:30pm
Early Dismissal 1:00pm",9:15 - 3:45,9:15 - 3:30,9:15 - 3:45,9:15 - 3:45,9:15 - 3:45,
3,Clap Elementary School,"9:30am - 4:10pm
Early Dismissal 1:40pm",9:10-4:20,9:20-4:10,9:10-4:20,8:30-4:30 (vary by days),9:10-4:20,
3,Dudley Street Neighborhood School,8:30am - 4:00pm; Early Dismissal 1:30pm,8:30am-4:00pm,8:00am-4:00pm,8:45-4:00,8:00-4:00,8:45-4:15,
3,Ellis Elementary School,"9:30am - 4:10pm
Early Dismissal 1:40pm",9:15am-4:25pm,9:30am-4:10pm,9:15am-4:25pm,8:30am-4:30pm,"9:15am-4:25p,",CFC: 9:00am-5:00pm
3,Greenwood Sarah K-8 School,8:30am - 3:10pm,8:20-3:30pm,8:20-3:20pm,8:20-3:30pm,8:20-4:00pm,8:20-3:30pm,
3,Hale Elementary School,8:30am - 3:10pm,8:15-3:25pm,8:30-3:10,8:15-3:25pm,8:00-4:00pm,8:15-3:25pm,
3,Haynes Early Education Center,7:30am - 4:30pm,8:05 AM -2:35 PM ,",10:50 PM - 5:00 PM, 9:00 AM-5:00 PM",9:05 AM-3:35 PM,8:00 AM- 4:00 PM,8:05 AM- 2:35 PM,
3,King Elementary School,8:30am - 3:10pm,8:15-3:25pm,8:20-3:10pm,8:15-3:25pm,8:00-4:00pm,8:15-3:25pm,
3,Mason Elementary School,8:30am - 2:30pm,8:10-2:45,8:30-2:40,8:10-2:40,8:00-4:00,8:10-2:40,
3,Murphy K-8 School,8:30am - 3:10pm,8:20-3:30,8:25-3:15,8:20-3:30,8:20-3:30,8:20-3:30,
3,Orchard Gardens K-8 School,7:20 am - 2:25 pm,7:10-2:40,7:10-2:10,7:10-2:40/ 7:25-2:55,7:10-3:10,7:10-2:40,
3,Trotter Elementary School,7:30am - 2:10pm,,,,,,
3,Winthrop Elementary School,8:30am - 3:00pm,8:15am - 3:15pm,8:25am - 3:15pm,8:15am - 3:15pm,8:15am - 3:15pm,8:15am - 3:15pm,
4,Baldwin Early Learning Pilot Academy,"7:15am - 4:30pm; 11:30am Wed
Early Dismissal 12:00pm","7 - 1:30 
8 - 2:30 ","7:15 - 3:15
9 - 5
11:45 - 5 ","8 - 4 Mon, Tue, Thur, Fri
8 -11 Wed",9 - 5 ,"7:15 - 1:30 
7:30 - 2 
9:- 3:30",
4,Curley K-8 School,"8:30am - 3:10pm
Early Dismissal 12:40pm",8:15 - 3:25,8:20 - 3:10,8:15 - 3:25,8:00 - 4:00,8:15 - 3:25,
4,Edison K-8 School,"8:30am - 3:10pm
Early Dismissal 12:40pm",8:20-3:20,8:25-3:15,8:20-3:20,7:30-3:30,,
4,Gardner Pilot Academy,8:30am - 2:30pm,8:15-2:45 ,"7:30-3:30, 8:15-4:15, 10:00-6:00",8:15-2:45,8:15-2:45,8:15-2:45,
4,Hennigan Elementary School,Grades 1-6: 7:30am - 2:10pm and K0-K2: 7:30am - 4:30 pm.,7:15-2:25,"7:00-1:50, 7:25-2:15, 8:40-4:40, 9:50-4:40",7:20-2:20,6:45-2:45 and 8:50-4:50,,
4,Hernandez K-8 School,8:30am - 3:10pm,8:10 - 3:20,8:10 - 3:20 (hour lunch),8:10 - 3:20 ,7:00 - 3:00,8:10 - 3:20,Lunch Monitors 10:30 - 1:30
4,Higginson Inclusion K0-2 School,9:30am - 4:10pm,9:15 - 4:25,9:20 - 4:10,9:15 - 4:25,9-5,9:15 - 4:25,
